label,address,file,line,source_label,source_repo
SNES,$7E:2100,Core/hardware.asm,37,SNES,oracle-of-secrets
SNES.ScreenDisplay,$7E:2100,Core/hardware.asm,39,SNES.ScreenDisplay,oracle-of-secrets
SNES.OAMSizeAndDataDes,$7E:2101,Core/hardware.asm,40,SNES.OAMSizeAndDataDes,oracle-of-secrets
SNES.OAMAccessAddr,$7E:2102,Core/hardware.asm,41,SNES.OAMAccessAddr,oracle-of-secrets
SNES.OMADataWrite,$7E:2104,Core/hardware.asm,42,SNES.OMADataWrite,oracle-of-secrets
SNES.BGModeAndTileSize,$7E:2105,Core/hardware.asm,43,SNES.BGModeAndTileSize,oracle-of-secrets
SNES.MosaicAndBGEnable,$7E:2106,Core/hardware.asm,44,SNES.MosaicAndBGEnable,oracle-of-secrets
SNES.BG1AddrAndSize,$7E:2107,Core/hardware.asm,46,SNES.BG1AddrAndSize,oracle-of-secrets
SNES.BG2AddrAndSize,$7E:2108,Core/hardware.asm,47,SNES.BG2AddrAndSize,oracle-of-secrets
SNES.BG3AddrAndSize,$7E:2109,Core/hardware.asm,48,SNES.BG3AddrAndSize,oracle-of-secrets
SNES.BG4AddrAndSize,$7E:210A,Core/hardware.asm,49,SNES.BG4AddrAndSize,oracle-of-secrets
SNES.BG1And2TileDataDes,$7E:210B,Core/hardware.asm,51,SNES.BG1And2TileDataDes,oracle-of-secrets
SNES.BG3And4TileDataDes,$7E:210C,Core/hardware.asm,52,SNES.BG3And4TileDataDes,oracle-of-secrets
SNES.BG1HScrollOffset,$7E:210D,Core/hardware.asm,54,SNES.BG1HScrollOffset,oracle-of-secrets
SNES.BG1VScrollOffset,$7E:210E,Core/hardware.asm,55,SNES.BG1VScrollOffset,oracle-of-secrets
SNES.BG2HScrollOffset,$7E:210F,Core/hardware.asm,56,SNES.BG2HScrollOffset,oracle-of-secrets
SNES.BG2VScrollOffset,$7E:2110,Core/hardware.asm,57,SNES.BG2VScrollOffset,oracle-of-secrets
SNES.BG3HScrollOffset,$7E:2111,Core/hardware.asm,58,SNES.BG3HScrollOffset,oracle-of-secrets
SNES.BG3VScrollOffset,$7E:2112,Core/hardware.asm,59,SNES.BG3VScrollOffset,oracle-of-secrets
SNES.BG4HScrollOffset,$7E:2113,Core/hardware.asm,60,SNES.BG4HScrollOffset,oracle-of-secrets
SNES.BG4VScrollOffset,$7E:2114,Core/hardware.asm,61,SNES.BG4VScrollOffset,oracle-of-secrets
SNES.VRAMAddrIncrementVal,$7E:2115,Core/hardware.asm,63,SNES.VRAMAddrIncrementVal,oracle-of-secrets
SNES.VRAMAddrReadWriteLow,$7E:2116,Core/hardware.asm,64,SNES.VRAMAddrReadWriteLow,oracle-of-secrets
SNES.VRAMAddrReadWriteHigh,$7E:2117,Core/hardware.asm,65,SNES.VRAMAddrReadWriteHigh,oracle-of-secrets
SNES.VRAMDataWriteLow,$7E:2118,Core/hardware.asm,66,SNES.VRAMDataWriteLow,oracle-of-secrets
SNES.VRAMDataWriteHigh,$7E:2119,Core/hardware.asm,67,SNES.VRAMDataWriteHigh,oracle-of-secrets
SNES.IndirectWorkRAMPort,$00:2180,Core/hardware.asm,123,SNES.IndirectWorkRAMPort,oracle-of-secrets
SNES.IndirectWorkRAMAddrLow,$00:2181,Core/hardware.asm,124,SNES.IndirectWorkRAMAddrLow,oracle-of-secrets
SNES.IndirectWorkRAMAddrMid,$00:2182,Core/hardware.asm,125,SNES.IndirectWorkRAMAddrMid,oracle-of-secrets
SNES.IndirectWorkRAMAddrHigh,$00:2183,Core/hardware.asm,126,SNES.IndirectWorkRAMAddrHigh,oracle-of-secrets
SNES.NMIVHCountJoypadEnable,$00:4200,Core/hardware.asm,129,SNES.NMIVHCountJoypadEnable,oracle-of-secrets
SNES.ProgrammableIOPortOut,$00:4201,Core/hardware.asm,130,SNES.ProgrammableIOPortOut,oracle-of-secrets
SNES.MultiplicandA,$00:4202,Core/hardware.asm,131,SNES.MultiplicandA,oracle-of-secrets
SNES.MultiplierB,$00:4203,Core/hardware.asm,132,SNES.MultiplierB,oracle-of-secrets
SNES.DividendLow,$00:4204,Core/hardware.asm,133,SNES.DividendLow,oracle-of-secrets
SNES.DividendHigh,$00:4205,Core/hardware.asm,134,SNES.DividendHigh,oracle-of-secrets
SNES.DivisorB,$00:4206,Core/hardware.asm,135,SNES.DivisorB,oracle-of-secrets
SNES.HCountTimer,$00:4207,Core/hardware.asm,136,SNES.HCountTimer,oracle-of-secrets
SNES.VCountTImer,$00:4209,Core/hardware.asm,138,SNES.VCountTImer,oracle-of-secrets
SNES.DMAChannelEnable,$00:420B,Core/hardware.asm,141,SNES.DMAChannelEnable,oracle-of-secrets
SNES.HDMAChannelEnable,$00:420C,Core/hardware.asm,142,SNES.HDMAChannelEnable,oracle-of-secrets
SNES.CycleSpeedDes,$00:420D,Core/hardware.asm,143,SNES.CycleSpeedDes,oracle-of-secrets
SNES.NMIFlagAndCPUVersionNum,$00:4210,Core/hardware.asm,146,SNES.NMIFlagAndCPUVersionNum,oracle-of-secrets
SNES.IRQFlagByHVCountTimer,$00:4211,Core/hardware.asm,147,SNES.IRQFlagByHVCountTimer,oracle-of-secrets
SNES.HVBlankFlagsAndJoyStatus,$00:4212,Core/hardware.asm,148,SNES.HVBlankFlagsAndJoyStatus,oracle-of-secrets
SNES.ProgrammableIOPortIn,$00:4213,Core/hardware.asm,149,SNES.ProgrammableIOPortIn,oracle-of-secrets
SNES.DivideResultQuotientLow,$00:4214,Core/hardware.asm,150,SNES.DivideResultQuotientLow,oracle-of-secrets
SNES.DivideResultQuotientHigh,$00:4215,Core/hardware.asm,151,SNES.DivideResultQuotientHigh,oracle-of-secrets
SNES.RemainderResultLow,$00:4216,Core/hardware.asm,152,SNES.RemainderResultLow,oracle-of-secrets
