address,label,type,region,notes
$00:021B,Oracle_DungeonMainCheck,func,dungeon,
$01:CC5A,Oracle_RoomTag_Return,func,dungeon,
$01:CC95,Oracle_RoomTag_OperateWaterFlooring,func,dungeon,
$01:E7A9,Oracle_Dungeon_SpriteInducedTilemapUpdate,func,dungeon,
$02:A5EC,Oracle_Overworld_ActualScreenID,func,overworld,
$02:B1F4,Oracle_Overworld_ReloadSubscreenOverlayAndAdvance_long,func,overworld,
$02:C692,Oracle_OverworldLoadScreensPaletteSet,pal,overworld,
$02:C769,Oracle_Overworld_CopyPalettesToCache,pal,overworld,
$02:FF6E,Oracle_Overworld_OperateCameraScroll_Long,func,overworld,
$02:FF76,Oracle_Overworld_ScrollMap_Long,func,overworld,
$06:ECB7,Oracle_Ancilla_CheckDamageToSprite,func,item,
$07:94E4,Oracle_LoadOverworldPitAreas_overworld_pit_transition,func,overworld,
$07:A15B,Oracle_LinkItem_NewBottle,func,item,
$07:A175,Oracle_LinkItem_NewBottle_empty_bottle,func,item,
$07:A178,Oracle_LinkItem_NewBottle_exit,func,item,
$07:A313,Oracle_LinkItem_ShovelAndFlute,func,item,
$07:A31D,Oracle_LinkItem_ShovelAndFlute_use_wolf_mask,func,item,
$07:A32C,Oracle_LinkItem_Shovel,func,item,
$07:A3DB,Oracle_LinkItem_Flute,func,item,
$07:A3DB,Oracle_LinkItem_FluteHook,func,item,
$07:A494,Oracle_LinkItem_Ether,func,item,
$07:A512,Oracle_LinkItem_PortalRod,func,item,
$07:A52F,Oracle_LinkItem_PortalRod_y_button_held,func,item,
$07:A556,Oracle_LinkItem_PortalRod_insufficient_mp,func,item,
$07:A55C,Oracle_LinkItem_PortalRod_return,func,item,
$07:A569,Oracle_LinkItem_ZoraMask,func,item,
$07:A574,Oracle_LinkItem_ZoraMask_return,func,item,
$07:A64B,Oracle_LinkItem_DekuMask,func,item,
$07:A66E,Oracle_LinkItem_DekuMask_continue,func,item,
$07:A67B,Oracle_LinkItem_DekuMask_return,func,item,
$07:AF3E,Oracle_LinkItem_FishingRodAndPortalRod,func,item,
$07:AF57,Oracle_LinkItem_FishingRodAndPortalRod_portal_rod,func,item,
$07:AF65,Oracle_LinkItem_FishingRodAndPortalRod_left,func,item,
$07:AF72,Oracle_LinkItem_FishingRodAndPortalRod_right,func,item,
$07:B0AB,Oracle_LinkItem_EvaluateMagicCost,func,item,
$07:FA3D,Oracle_LinkItem_WolfMask,func,item,
$07:FA47,Oracle_LinkItem_WolfMask_equip,func,item,
$07:FA4D,Oracle_LinkItem_WolfMask_return,func,item,
$07:FAAF,Oracle_LinkItem_CatchBottle,func,item,
$07:FAE0,Oracle_LinkItem_CatchBottle_y_press,func,item,
$07:FB29,Oracle_LinkItem_CatchBottle_bottle_exit,func,item,
$07:FB2A,Oracle_LinkItem_Bottles,func,item,
$07:FB60,Oracle_LinkItem_Bottles_milk_bottle,func,item,
$07:FB6F,Oracle_LinkItem_Bottles_magic_bean,func,item,
$07:FB74,Oracle_LinkItem_Bottles_fairy,func,item,
$07:FB77,Oracle_LinkItem_Bottles_LinkItem_RedPotion,func,item,
$07:FB81,Oracle_LinkItem_Bottles_LinkItem_UselessBottle,func,item,
$07:FB84,Oracle_LinkItem_Bottles_can_drink_red,func,item,
$07:FBA4,Oracle_LinkItem_Bottles_LinkItem_GreenPotion,func,item,
$07:FBAF,Oracle_LinkItem_Bottles_can_drink,func,item,
$07:FBD0,Oracle_LinkItem_Bottles_LinkItem_BluePotion,func,item,
$07:FBE5,Oracle_LinkItem_Bottles_useBluePotion,func,item,
$07:FC06,Oracle_LinkItem_Bottles_LinkItem_FairyBottle,func,item,
$07:FC18,Oracle_LinkItem_Bottles_released,func,item,
$07:FC1E,Oracle_LinkItem_Bottles_LinkItem_BeeBottle,func,item,
$07:FC2A,Oracle_LinkItem_Bottles_bee_spawn_success,func,item,
$07:FC34,Oracle_LinkItem_Bottles_bottle_exit,func,item,
$07:FC4D,Oracle_LinkItem_NewFlute,func,item,
$07:FC5F,Oracle_LinkItem_NewFlute_y_button_not_held,func,item,
$07:FC82,Oracle_LinkItem_NewFlute_song_of_time,func,item,
$07:FC9A,Oracle_LinkItem_NewFlute_song_of_healing,func,item,
$07:FCB2,Oracle_LinkItem_NewFlute_song_of_storms,func,item,
$07:FCC0,Oracle_LinkItem_NewFlute_song_of_soaring,func,item,
$07:FCE2,Oracle_LinkItem_NewFlute_light_world,func,item,
$07:FCEA,Oracle_LinkItem_NewFlute_next_ancillary_slot,func,item,
$07:FD2B,Oracle_LinkItem_NewFlute_not_weathervane_trigger,func,item,
$07:FD2F,Oracle_LinkItem_NewFlute_travel_bird_already_released,func,item,
$07:FD3A,Oracle_LinkItem_NewFlute_return,func,item,
$08:8DA2,Oracle_Ancilla_CheckSpriteCollision_long,func,item,
$08:923B,Oracle_Ancilla_CheckTileCollision_long,func,item,
$08:9243,Oracle_Ancilla_CheckTileCollision_Class2_long,func,item,
$08:F6D9,Oracle_Ancilla_PrepOAMCoord_long,func,item,
$08:F6FE,Oracle_Ancilla_SetOAM_XY_long,func,item,
$08:FB23,Oracle_Ancilla_GetRadialProjection_long,func,item,
$09:9DD3,Oracle_Ancilla_CheckInitialTile_A,func,item,
$09:C635,Oracle_OverworldPalettesScreenToSet_New,pal,overworld,
$0A:BF90,Oracle_MapIconDraw,func,map,
$0A:BFA4,Oracle_MapIconDraw_draw_prizes,func,map,
$0A:BFBC,Oracle_MapIconDraw_check_pendants,func,map,
$0A:BFD9,Oracle_MapIconDraw_check_master_sword,func,map,
$0A:BFEB,Oracle_MapIconDraw_check_fortress,func,map,
$0A:BFFD,Oracle_MapIconDraw_check_final_boss,func,map,
$0A:C00C,Oracle_MapIconDraw_exit_dw,func,map,
$0A:C00F,Oracle_MapIconDraw_lwprizes,func,map,
$0A:C02D,Oracle_MapIconDraw_main_quest,func,map,
$0A:C043,Oracle_MapIconDraw_draw_crystal_1,func,map,
$0A:C078,Oracle_MapIconDraw_skip_draw_0,func,map,
$0A:C07B,Oracle_MapIconDraw_draw_crystals,func,map,
$0A:C0B0,Oracle_MapIconDraw_skip_draw_1,func,map,
$0A:C0E5,Oracle_MapIconDraw_skip_draw_2,func,map,
$0A:C11A,Oracle_MapIconDraw_skip_draw_3,func,map,
$0A:C14F,Oracle_MapIconDraw_skip_draw_4,func,map,
$0A:C184,Oracle_MapIconDraw_skip_draw_5,func,map,
$0A:C1B9,Oracle_MapIconDraw_skip_draw_6,func,map,
$0B:FE70,Oracle_Overworld_SetFixedColAndScroll,func,overworld,
$0B:FE72,Oracle_Overworld_SetFixedColAndScroll_AltEntry,func,overworld,
$0D:BB5E,Oracle_Ancilla_CalculateSFXPan,func,item,
$0D:DEB0,Oracle_ItemMenu_CheckForOwnership,func,menu,
$0D:FE77,Oracle_HUD_Tilemap,func,menu,
$0E:D5A8,Oracle_OverworldPalettesLoader,pal,overworld,
$0E:FBA0,Oracle_LinkItem_IceRod,func,item,
$0E:FBC6,Oracle_LinkItem_IceRod_on_water_tiles,func,item,
$0F:F577,Oracle_Ancilla_CheckForAvailableSlot,func,item,
$0F:FBC2,Oracle_Ancilla_GetRadialProjection.multiplier_x,func,item,
$0F:FC02,Oracle_Ancilla_GetRadialProjection.multiplier_y,func,item,
$0F:FC42,Oracle_Ancilla_GetRadialProjection.meta_sign_y,func,item,
$0F:FC82,Oracle_Ancilla_GetRadialProjection.meta_sign_x,func,item,
$1B:B860,Oracle_Overworld_GetPitDestination,func,overworld,
$1B:B96F,Oracle_Overworld_EntranceScreens,func,overworld,
$1B:BA71,Oracle_Overworld_EntranceTileIndex,func,overworld,
$1B:BB73,Oracle_Overworld_Entrance_ID,func,overworld,
$1B:C97C,Oracle_Overworld_DrawMap16_Persist,func,overworld,
$1B:C983,Oracle_Overworld_DrawMap16_Anywhere,func,overworld,
$2B:81C6,Oracle_LinkItem_JumpFeather,func,item,
$2B:81F6,Oracle_LinkItem_JumpFeather_no_up,func,item,
$2B:8200,Oracle_LinkItem_JumpFeather_no_down,func,item,
$2B:820A,Oracle_LinkItem_JumpFeather_no_left,func,item,
$2B:8214,Oracle_LinkItem_JumpFeather_cant_use_it,func,item,
$2B:8214,Oracle_LinkItem_JumpFeather_no_right,func,item,
$2B:8229,Oracle_LinkItem_BookOfSecrets,func,item,
$2B:824B,Oracle_Dungeon_RevealSecrets,func,dungeon,
$2B:826E,Oracle_Dungeon_RevealSecrets_end,func,dungeon,
$2B:83D9,Oracle_LinkItem_BallChain_GfxTransfer,gfx,item,
$2B:8408,Oracle_LinkItem_BallChain_GfxTransfer_transfer_gfx_sideways,gfx,item,
$2B:8429,Oracle_LinkItem_BallChain_GfxTransfer_transfer_handle_and_links,gfx,item,
$2B:843C,Oracle_LinkItem_BallChain_GfxTransfer_transfer_loop,gfx,item,
$2B:8A5D,Oracle_Ancilla_HandlePortalCollision,func,item,
$2B:8A6F,Oracle_Ancilla_HandlePortalCollision_orange_portal,func,item,
$2B:8A92,Oracle_Ancilla_HandlePortalCollision_blue_portal,func,item,
$2B:8AB2,Oracle_Ancilla_HandlePortalCollision_continue,func,item,
$2B:8AB5,Oracle_Ancilla_HandlePortalCollision_not_portal_arrow,func,item,
$2B:8ABB,Oracle_LinkItem_FirePortal,func,item,
$2B:8AC4,Oracle_LinkItem_FirePortal_continue,func,item,
$2B:8AD1,Oracle_LinkItem_FirePortal_spawn_blue,func,item,
$2B:8AD7,Oracle_LinkItem_FirePortal_check_direction,func,item,
$2B:8AEF,Oracle_LinkItem_FirePortal_facing_up,func,item,
$2B:8B14,Oracle_LinkItem_FirePortal_facing_down,func,item,
$2B:8B39,Oracle_LinkItem_FirePortal_facing_left,func,item,
$2B:8B5E,Oracle_LinkItem_FirePortal_facing_right,func,item,
$2B:8B80,Oracle_LinkItem_FirePortal_finish,func,item,
$2B:8B88,Oracle_LinkItem_FirePortal_return,func,item,
$2B:8C1A,Oracle_LinkItem_FishingRod,func,item,
$2B:8C4A,Oracle_LinkItem_FishingRod_holding_y,func,item,
$2B:8CB6,Oracle_LinkItem_FishingRod_waitforend,func,item,
$2B:8CD6,Oracle_LinkItem_FishingRod_BringBackFloater,func,item,
$2B:8D05,Oracle_LinkItem_FishingRod_notafish,func,item,
$2B:8D1F,Oracle_LinkItem_FishingRod_noPrize,func,item,
$2B:8D25,Oracle_LinkItem_FishingRod_exit,func,item,
$2B:997E,Oracle_MagicRing_CheckForPower,func,item,
